data,time
10,0
20,0
30,0
40,0
50,0
60,0
70,0
80,0
90,0
100,0
200,0
300,0
400,0
500,0
600,0
700,0
800,0
900,0
1000,0
2000,0
3000,0
4000,0
5000,0
6000,0.5
7000,0.3
8000,1
9000,1
10000,1.8
20000,3
30000,5.7
40000,6.9
50000,9.1
60000,10.1
70000,12.5
80000,16.4
90000,20.5
100000,19.3
10,0
20,0
30,0
40,0
50,0
60,0
70,0
80,0
90,0
100,0
200,0
300,0
400,0
500,0
600,0
700,0
800,0
900,0
1000,0
2000,0
3000,0
4000,0
5000,0
6000,0.1
7000,1
8000,1
9000,1
10000,1.2
20000,3
30000,5.1
40000,7.2
50000,9.1
10,0
20,0
30,0
40,0
50,0
60,0
70,0
80,0
90,0
100,0
10,0
20,0
30,0
40,0
50,0
60,0
70,0
80,0
90,0
100,0
