data,time
10,0
20,0
30,0
40,0
50,0
60,0
70,0
80,0
90,0
100,0
200,0
300,0
400,0
500,0
600,0
700,0
800,0
900,0
1000,0
2000,0
3000,1
4000,1
5000,2
6000,2.2
7000,3
8000,3.6
9000,4.3
10000,5.2
20000,15.6
30000,20.5
40000,27
50000,36.9
60000,42.2
70000,49.9
80000,61.1
90000,68.4
100000,80.5
10,0
20,0
30,0
40,0
50,0
60,0
70,0
80,0
90,0
100,0
200,0
300,0
400,0
500,0
600,0
700,0
800,0
900,0
1000,0
2000,0.1
3000,1
4000,1.2
5000,2
6000,2.1
7000,3.1
8000,3.2
9000,4.1
10000,5
20000,11.4
30000,18.3
40000,27.1
50000,34.6
10,0
20,0
30,0
40,0
50,0
60,0
70,0
80,0
90,0
100,0
10,0
20,0
30,0
40,0
50,0
60,0
70,0
80,0
90,0
100,0
