data,time
10,0
20,0
30,0
40,0
50,0
60,0
70,0
80,0
90,0
100,0
200,1
300,1.8
400,3.7
500,5.1
600,8.1
700,11.2
800,13.8
900,22.1
1000,21.3
2000,93.2
3000,194.4
4000,341.9
5000,525.5
6000,763.9
7000,1058.3
8000,1307.2
9000,1602.9
10000,2021.1
20000,8041.7
30000,18087
40000,32225
50000,50326.9
60000,72206.2
70000,102084
80000,136968
90000,167250
100000,201855
10,0
20,0
30,0
40,0
50,0
60,0
70,0
80,0
90,0.1
100,0
200,0
300,0.8
400,1.6
500,2.5
600,3.8
700,8.6
800,7.1
900,9.3
1000,11.2
2000,46.7
3000,112.8
4000,205.9
5000,317.5
6000,461.2
7000,1130.6
8000,1277.6
9000,1005.5
10000,1242.5
20000,5024
30000,11910.4
40000,20464.5
50000,31153
60000,45901
10,0
20,0
30,0
40,0
50,0
60,0
70,0
80,0
90,0
100,0
200,0
300,1
400,1.8
500,2.6
600,4
700,5.1
800,7
900,10.5
1000,11
2000,52
3000,110.4
4000,196.9
5000,310.5
6000,457.4
7000,609.9
8000,800
9000,1035.3
10000,1266.4
20000,5453.6
30000,11161.6
40000,19971.7
50000,31617.3
60000,45924.6
70000,64960.3
80000,81345.9
90000,103042
