data,time
10,0
20,0
30,0
40,0
50,0
60,0
70,0
80,0
90,0
100,0
200,0
300,0
400,0
500,0
600,0
700,0
800,0
900,0
1000,0
2000,0
3000,0
4000,0.3
5000,0.5
6000,1
7000,1
8000,1.3
9000,1.9
10000,2.8
20000,5
30000,10.8
40000,10.7
50000,16.2
60000,16.1
70000,20.2
80000,23
90000,26.9
100000,29.1
10,0
20,0
30,0
40,0
50,0
60,0
70,0
80,0
90,0
100,0
200,0
300,0
400,0
500,0
600,0
700,0
800,0
900,0
1000,0
2000,0
3000,0
4000,0.1
5000,1
6000,1
7000,1
8000,1.2
9000,2
10000,2
20000,5.2
30000,8
40000,10.7
50000,13.5
10,0
20,0
30,0
40,0
50,0
60,0
70,0
80,0
90,0
100,0
10,0
20,0
30,0
40,0
50,0
60,0
70,0
80,0
90,0
100,0
