data,time
10,0
20,0
30,0
40,0
50,0
60,0
70,0
80,0
90,0
100,0
200,1
300,2.2
400,4.6
500,6.8
600,10.2
700,13.6
800,20.1
900,20.6
1000,26.5
2000,104.6
3000,226.1
4000,392.4
5000,611.6
6000,882.9
7000,1165.5
8000,1502.2
9000,1896.1
10000,2364.5
20000,9340.1
30000,21009.5
40000,37301.7
50000,58292.1
60000,83834.7
70000,122858
80000,162425
90000,191637
100000,234830
10,0
20,0
30,0
40,0
50,0
60,0
70,0
80,0
90,0
100,0
200,0
300,1
400,2.1
500,3.1
600,4.7
700,6.5
800,8.6
900,10.8
1000,19.7
2000,61.5
3000,131.4
4000,241
5000,361.5
6000,527.5
7000,1428.2
8000,1070.2
9000,1141.3
10000,1410.4
20000,5765.6
30000,13515.5
40000,23151.9
50000,36176.4
60000,50250.7
10,0
20,0
30,0
40,0
50,0
60,0
70,0
80,0
90,0
100,0
200,0
300,1.1
400,2
500,3
600,4.7
700,6.4
800,9.4
900,10.4
1000,13.4
2000,55.1
3000,126.3
4000,230.8
5000,362.6
6000,519.1
7000,701.9
8000,943.1
9000,1183.7
10000,1430.1
20000,5779
30000,12824.8
40000,22643.7
50000,36210.8
60000,54117.8
70000,72510.9
80000,92017.2
90000,118368
